,"-, clemscore","all, Average % Played","all, Average Quality Score","referencegame, % Played","referencegame, Quality Score","referencegame, Quality Score (std)","taboo, % Played","taboo, Quality Score","taboo, Quality Score (std)","textmapworld, % Played","textmapworld, Quality Score","textmapworld, Quality Score (std)"
agent_SimpleActLoop_qwen3,19.86,47.65,41.67,4.17,100.0,,100.0,25.0,42.74,38.78,0.0,0.0
agent_core_tools_gpt4omini,29.73,97.62,30.45,100.0,54.17,50.9,92.86,37.18,46.23,100.0,0.0,0.0
agent_core_tools_qwen3,37.83,74.0,51.12,92.0,69.57,47.05,100.0,20.0,36.84,30.0,63.8,13.0
agent_planning_qwen3,33.14,94.0,35.26,100.0,40.0,50.0,100.0,17.78,35.34,82.0,47.99,21.76
agent_tag_extractor_gpt20boss,54.13,87.94,61.55,95.83,82.61,38.76,80.0,37.5,48.27,88.0,64.53,16.16
agent_tag_extractor_qwen3,30.3,42.67,71.0,100.0,80.0,40.82,0.0,,,28.0,62.0,16.3
agent_two_tools_qwen3,44.16,88.67,49.8,88.0,68.18,47.67,100.0,23.33,37.16,78.0,57.89,14.64
baseline_qwen3,18.28,67.35,27.14,100.0,60.0,50.0,100.0,21.43,42.58,2.04,0.0,
